AA,Charge,Polarity,Aromaticity,Size
A,Neutral,Non-Polar,Neutral,Small
R,Positive,Polar,Neutral,Large
N,Neutral,Polar,Neutral,Medium
D,Negative,Polar,Neutral,Medium
C,Neutral,Polar,Neutral,Large
Q,Neutral,Polar,Neutral,Large
E,Negative,Polar,Neutral,Large
G,Neutral,Non-Polar,Neutral,Small
H,Positive,Polar,Aromatic,Large
I,Neutral,Non-Polar,Aliphatic,Large
L,Neutral,Non-Polar,Aliphatic,Large
K,Positive,Polar,Neutral,Large
M,Neutral,Non-Polar,Neutral,Large
F,Neutral,Non-Polar,Aromatic,Large
P,Neutral,Non-Polar,Neutral,Small
S,Neutral,Polar,Neutral,Small
T,Neutral,Polar,Neutral,Medium
W,Neutral,Non-Polar,Aromatic,Large
Y,Neutral,Polar,Aromatic,Large
V,Neutral,Non-Polar,Aliphatic,Large
X,Neutral,Non-Polar,Neutral,Medium